start_ms	end_ms	word
712	812	Die
852	1192	Antwort
1212	1612	darauf
1672	1932	ist
1952	2433	überraschend
2473	3414	simple,
3454	3574	sie
3614	3794	liegt
3814	4114	nämlich
4134	4394	nicht
4434	4614	über
4634	5155	derh,
5195	5475	sondern
5515	5815	unter
5875	6536	ihr.
6556	6696	Denn
6736	6936	eine
6976	7597	Vertiefung
7657	7797	ist
7837	8157	erstmal
8177	8317	nur
8337	9198	das,
9218	9378	ein
9438	10239	Loch,
10259	10419	ob
10439	10759	daraus?raus
10799	10959	ein
10999	11179	See
11219	11500	wird
11540	11720	oder
11740	11900	eine
11920	12120	ganz
12140	12520	normale
12580	13521	Wiese,
13541	13761	ist
13821	14282	die
14302	15503	Frage.
15543	16884	1.
16924	17204	Kommt
17224	17564	überhaupt
17604	17884	genug
17924	18225	Wasser
18265	19505	zusammen?
19666	20226	2.
20266	20486	Viel
20506	21627	wichtiger,
21647	21767	kann
21807	21947	das
21987	22187	Loch
22207	22448	dieses
22508	22748	Wasser
22768	22948	auch
23008	23929	halten?
23949	24129	Stell
24149	24289	dir
24309	24529	zwei
24549	24849	Eimer
24889	25650	vor.
25670	25850	Der
25890	26090	eine
26150	26291	ist
26331	27732	dicht,
27752	27872	der
27912	28112	andere
28152	28312	hat
28332	28452	ein
28492	28632	Loch
28672	28752	im
28792	29013	Boden.
29753	29833	Du
29873	30133	kannst
30193	30714	beide,
30734	30854	so
30894	31094	lange
31114	31234	du
31274	31594	willst,
31634	31694	in
31714	31834	den
31874	32134	Regen
32174	33195	stellen,
33215	33615	voll
33635	35336	wird.
35356	35476	Mit
35516	35656	dem
35676	35976	Boden
36036	36196	unter
36256	36556	unseren
36616	36877	Füßen
36917	37017	ist
37057	37157	es
37177	37377	genau
37417	38257	dasselbe.
50403	50603	Liegt
50643	50823	unter
50863	50963	der
51003	51524	Mulde
51564	51744	aber
51764	51964	eine
52004	53884	wasserdurchlässigeh,
53944	54205	also
54265	54925	Ton,
54985	55165	Lehm
72791	72932	eine
72952	73612	durchlässige
73653	73893	Sand
