[   1.38s -    4.98s]  In Japan kommst du mit dem Zug in unter drei Stunden von Tokio nach Osaka.
[   5.32s -    8.95s]  In Frankreich rast der TGW mit über 300 kmh durchs Land.
[   9.33s -   14.03s]  China hat in nur 15 Jahren das größte Hochgeschwindigkeitsnetz der Welt aus dem Boden gestampft.
[  14.65s -   16.17s]  Und dann gibt es die USA.
[  16.55s -   17.77s]  Das reichste Land der Erde.
[  18.05s -   20.14s]  Die größte Wirtschaftsmacht der Geschichte.
[  20.59s -   23.98s]  Ein Land, das einmal mit Abstand das beste Eisenbahnnetz der Welt hatte.
[  24.46s -   27.16s]  Und das diesen Vorsprung heute komplett verspielt hat.
[  27.72s -   30.37s]  Die große Frage ist, wie kann das sein?
[  30.49s -   35.60s]  Wie verliert eine Nation, die das Reisen mit der Bahn praktisch erfunden hat, ausgerechnet die Bahn?
[  36.22s -   38.44s]  Das goldene Zeitalter.
[  38.96s -   44.82s]  Um zu verstehen, wie tief Amerika gefallen ist, muss man erst sehen, wo Amerika zu Beginn des Eisenbahnzeitalters stand.
[  45.50s -   49.47s]  Im 19. Jahrhundert war die Eisenbahn in den USA nicht irgendein Verkehrsmittel.
[  49.73s -   51.06s]  Sie war das Verkehrsmittel.
[  52.46s -   55.96s]  1869 wird die erste transkontinentale Eisenbahn fertiggestellt.
[  56.58s -   62.50s]  Plötzlich konnte man in wenigen Tagen ein Land durchqueren, für das Siedler vorher Monate in Planwagen gebraucht hatten.
[  63.08s -   66.32s]  Die Eisenbahn hat den amerikanischen Westen im Grunde erst erschlossen.
[  66.88s -   68.25s]  Und es geht nicht nur um Reisen.
[  68.35s -   70.94s]  Ganze Städte entstehen, weil dort eine Bahnlinie verläuft.
[  71.34s -   73.94s]  Wer keinen Bahnanschluss bekam, verschwand von der Landkarte.
[  74.48s -   77.82s]  Die Eisenbahngesellschaften waren die mächtigsten Konzerne ihrer Zeit.
[  78.32s -   80.68s]  Die Tech-Giganten des 19. Jahrhunderts, wenn man so will.
[  81.26s -   85.68s]  Auf dem Höhepunkt rund um den Ersten Weltkrieg hatten die USA ein Schienennetz von etwa 200 Schienen.
[  86.02s -   86.53s]  54.000 Meilen.
[  87.88s -   91.94s]  Zur Einordnung, das ist mehr als das gesamte Schienennetz von ganz Europa damals.
[  92.52s -   94.68s]  Praktisch jede Kleinstadt hatte einen Bahnhof.
[  95.28s -   96.70s]  Und das Reisen war komfortabel.
[  97.24s -   98.44s]  Pullman-Schlafwagen.
[  98.94s -  100.26s]  Speisewagen mit Kellnern.
[ 100.62s -  101.22s]  Aussichtswagen.
[ 101.72s -  103.32s]  Mit der Bahn fahren war normal.
[ 103.90s -  108.70s]  Die Eisenbahn war so dominant, dass sich niemand vorstellen konnte, dass sich das jemals ändern würde.
[ 109.24s -  113.62s]  Aber genau in diesem Moment, auf dem absoluten Höhepunkt, tauchte ein Konkurrent auf.
[ 114.02s -  114.92s]  Das Auto.
[ 115.96s -  118.96s]  Im Jahr 1908 bringt Henry Ford die Model T auf den Markt.
[ 118.96s -  120.96s]  Am Anfang ist das Auto ein Spielzeug.
[ 121.00s -  125.96s]  Teuer, unzuverlässig und es gibt fast keine asphaltierten Straßen, auf denen man fahren könnte.
[ 126.34s -  129.24s]  Zunächst also kein ernstzunehmender Konkurrent für die Eisenbahn.
[ 129.96s -  131.96s]  Doch Ford macht etwas Revolutionäres.
[ 132.08s -  133.96s]  Die Fließbandfertigung.
[ 133.96s -  135.96s]  Die Massenproduktion drückt den Preis radikal.
[ 136.54s -  140.96s]  Auf einmal kann sich nicht nur die Oberschicht ein Auto leisten, sondern die breite Mittelschicht.
[ 141.22s -  143.96s]  Und das Auto bietet etwas, das die Eisenbahn niemals konnte.
[ 144.67s -  145.96s]  Totale Freiheit.
[ 145.98s -  146.76s]  Kein Fahrplan.
[ 147.14s -  147.96s]  Keine feste Strecke.
[ 148.43s -  149.96s]  Du fährst wann du willst, wohin du willst.
[ 150.67s -  151.96s]  Von deiner Haustür bis zum Ziel.
[ 152.70s -  156.96s]  Dieses Gefühl, diese Freiheit wird zum Kern der amerikanischen Identität.
[ 157.28s -  158.96s]  Das Auto ist nicht nur Transport.
[ 159.24s -  160.96s]  Es ist ein Versprechen.
[ 160.96s -  163.96s]  Außerdem hatte das Auto einen entscheidenden Vorteil.
[ 164.24s -  165.96s]  Eisenbahnen waren private Unternehmen.
[ 166.74s -  170.94s]  Sie mussten ihre Gleise selbst bauen, selbst warten und selbst bezahlen.
[ 171.69s -  173.96s]  Die Straßen dagegen baute der Staat.
[ 174.08s -  174.96s]  Mit Steuergeld.
[ 175.28s -  176.96s]  Kostenlos für jeden, der ein Auto hatte.
[ 177.87s -  179.96s]  Das ist ein brutal ungleicher Wettkampf.
[ 180.04s -  183.96s]  Die Bahn muss ihre komplette Infrastruktur selbst stemmen und Gewinn machen.
[ 184.24s -  186.96s]  Und das Auto kommt seiner Infrastruktur geschenkt.
[ 187.50s -  189.96s]  Ein Wettkampf, den die Bahn fast nur verlieren konnte.
[ 190.60s -  192.96s]  Die größte Subvention der Geschichte.
[ 194.18s -  196.51s]  1956 unterschreibt Präsident Y.D.
