start_ms	end_ms	word
751	1351	Das
1391	1551	ist
1591	1731	ein
1771	2592	See.
2632	3352	Das,
3372	3492	das
3532	3672	ist
3692	3892	auch
3932	4092	ein
4132	5553	See.
5573	5793	Aber
5833	6633	das,
6653	6793	das
6833	7013	ist
7033	7253	kein
7293	8293	See.
8313	8493	Und
8513	8753	das,
8773	9054	obwohl
9074	9314	diese
9334	9574	drei
9634	9914	Orte
9954	10094	nur
10134	10374	weniger
10394	10594	als
10634	10814	zwei
10854	11254	Kilometer
11314	11814	voneinander
11834	12254	entfernt
12294	13035	sind,
13055	13175	sie
13195	13315	die
13335	13695	gleiche
13735	14175	Erhebung
14195	14875	haben
14915	15035	und
15055	15155	die
15195	15495	gleichen
15515	16476	Witterungsbedingungen
16516	16616	auf
16656	16756	sie
16796	18196	einwirken.
18216	18376	Wie
18396	18596	kann
18616	18796	das
18836	19657	sein?
19697	20037	Deswegen
20057	20837	heute
20877	21157	sehen
21177	21337	und
21377	21717	gesehen
21757	22597	werden.
22617	22857	Wie
22898	23238	entsteht
23258	23618	eigentlich
23638	23798	ein
23818	23998	See?
24910	25050	Der
25090	25230	See
25250	25390	war
25410	25591	schon
25631	25771	immer
25811	25911	ein
25931	26571	verwunschener
26611	27232	Ort.
27252	27312	Er
27352	27492	ist
27532	27632	die
27672	27952	Bühne
27972	28132	für
28172	28673	Mythen
28713	28853	über
28893	29853	Monster.
29893	29953	Er
29994	30114	ist
30154	30274	der
30334	30614	Ort,
30634	30754	den
30774	30974	man
30994	31334	aufsucht,
31394	31515	wenn
31535	31775	man
31815	32075	nachts
32095	32215	von
32235	32355	der
32415	32735	Party
32775	33136	abhaut,
33156	33276	um
33296	33496	nackt
33536	33836	baden
33856	33956	zu
33996	34176	gehen,
34196	34276	wie
34316	34376	in
34396	34537	einer
34577	36098	Hollywood-Romance.
36138	36238	Und
36278	36378	der
36418	36938	perfekte
36998	37559	Ort,
37599	37719	um
37739	38079	jemanden
38119	38599	ausfassend
38619	39060	verschwinden
39080	39160	zu
39220	40200	lassen.
40220	40401	Aber
40421	40521	im
40541	41161	Normalfall
41201	41361	dient
41421	41481	er
41521	41601	im
41641	41922	Sommer
41942	42222	einfach
42262	42462	als
42502	43242	Zufluchtsort
43262	43363	vor
43403	43523	der
43543	44303	Hitze,
44323	44463	wenn
44483	44603	man
44623	44743	dem
44783	45064	heißen
45104	45384	Beton
45424	45524	der
45544	45764	Stadt
45784	45924	mal
45964	46124	kurz
46184	46485	entkommen
46505	46625	will
46665	46765	und
46805	46945	einen
47065	47165	3
47185	47505	Stunden
47545	48086	Kurzurlaub
48106	49527	benötigt.
49567	49727	Aber
49747	49887	jetzt
49987	50107	mal
50127	50828	wirklich,
50868	51068	warum
51108	51248	ist
51288	51408	in
51448	51648	dieser
51688	52208	Vertiefung
52228	52689	Wasser
52709	52849	und
52889	52989	in
53009	53269	dieser
53309	53469	nicht?
54514	54711	Copyright
54733	54799	WDR
54820	54908	2021
